Number;Stem;Semantics;Meaning;Left position;Right position
1;дом;пространство;2;-;1
2;вода;субстанция, излучающая тепло;1;-;[1, 2]
3;президент;высшая должность в государстве;5;4;-
4;воспоминание;образ в памяти;4;-;1
5;помещение;пространство;2;2;-
6;отношение;мнение человека;4;-;1
7;дружба;степень качества взаимоотношения людей;5;-;1
8;шапка;предмет одежды;3;-;1
9;вино;напиток;2;[1, 2];-
10;камень;кусок твердой породы;1;[1, 2];-
11;море;часть Мирового океана;1;-;1
12;водный;характеристика объекта;1;-;1
13;эмульсия;смесь двух или более жидкостей;1;-;2
14;пальто;предмет одежды;3;-;[1, 4]
15;шарф;предмет одежды;3;-;[1, 4]
16;перчатка;предмет одежды;3;-;[1, 4]
17;воздух;смесь газов;1;-;1
18;уютный;создающий ощущение покоя;4;-;[1, 2]
